page	reference_only	svg_only	reference_only_chars	svg_only_chars	note
76	0	0			-
77	0	0			-
78	0	905		U+0028:(×14,U+0029:)×16,U+002C:,×4,U+002D:-×7,U+002E:.×1,U+002F:/×3,U+0030:0×11,U+0031:1×8,U+0032:2×8,U+0033:3×1,U+0035:5×1,U+0037:7×5,U+0038:8×3,U+0039:9×3,U+0041:A×2,U+0042:B×3,U+0043:C×10,U+0044:D×3,U+0045:E×9,U+0048:H×4,U+0049:I×2,U+004A:J×1,U+004E:N×1,U+004F:O×2,U+0050:P×3,U+0052:R×6,U+0053:S×1,U+0054:T×3,U+0055:U×2,U+005B:[×3,U+005D:]×3,U+0061:a×50,U+0062:b×2,U+0063:c×14,U+0064:d×14,U+0065:e×37,U+0066:f×19,U+0067:g×14,U+0068:h×7,U+0069:i×51,U+006B:k×2,U+006C:l×21,U+006D:m×14,U+006E:n×80,U+006F:o×65,U+0070:p×9,U+0071:q×1,U+0072:r×26,U+0073:s×24,U+0074:t×42,U+0075:u×23,U+0076:v×8,U+0079:y×3,U+007A:z×1,U+00B7:\xb7×1,U+2019:\u2019×2,U+300C:\u300c×7,U+300D:\u300d×7,U+AC00:\uac00×2,U+AC04:\uac04×2,U+AC1C:\uac1c×1,U+AC70:\uac70×2,U+ACA9:\uaca9×1,U+ACB0:\uacb0×4,U+ACF5:\uacf5×2,U+ACFC:\uacfc×3,U+AD00:\uad00×5,U+AD6C:\uad6c×2,U+AD6D:\uad6d×2,U+AD8C:\uad8c×2,U+ADFC:\uadfc×1,U+AE30:\uae30×5,U+B098:\ub098×1,U+B0B4:\ub0b4×1,U+B300:\ub300×1,U+B3D9:\ub3d9×1,U+B4E4:\ub4e4×1,U+B798:\ub798×1,U+B7FD:\ub7fd×6,U+B825:\ub825×1,U+B85C:\ub85c×1,U+B960:\ub960×1,U+B9E4:\ub9e4×6,U+BB3C:\ubb3c×3,U+BC0F:\ubc0f×1,U+BC29:\ubc29×2,U+BC95:\ubc95×3,U+BCC4:\ubcc4×1,U+C0AC:\uc0ac×2,U+C0DD:\uc0dd×2,U+C11C:\uc11c×3,U+C131:\uc131×1,U+C18D:\uc18d×1,U+C2DC:\uc2dc×1,U+C2DD:\uc2dd×3,U+C2E0:\uc2e0×2,U+C548:\uc548×5,U+C57D:\uc57d×9,U+C5C6:\uc5c6×1,U+C5D0:\uc5d0×8,U+C678:\uc678×1,U+C6A9:\uc6a9×1,U+C6D0:\uc6d0×3,U+C704:\uc704×2,U+C720:\uc720×8,U+C73C:\uc73c×2,U+C740:\uc740×1,U+C744:\uc744×1,U+C758:\uc758×18,U+C774:\uc774×4,U+C778:\uc778×5,U+C77C:\uc77c×1,U+C784:\uc784×1,U+C790:\uc790×1,U+C7A5:\uc7a5×4,U+C801:\uc801×4,U+C804:\uc804×1,U+C815:\uc815×4,U+C81C:\uc81c×3,U+C870:\uc870×2,U+C900:\uc900×1,U+C99D:\uc99d×1,U+C9C0:\uc9c0×4,U+C9C8:\uc9c8×2,U+CC28:\ucc28×2,U+CCB4:\uccb4×3,U+CD94:\ucd94×1,U+CE58:\uce58×1,U+CE68:\uce68×2,U+D1B5:\ud1b5×3,U+D3C9:\ud3c9×1,U+D45C:\ud45c×1,U+D55C:\ud55c×8,U+D589:\ud589×2,U+D611:\ud611×7,U+D615:\ud615×1,U+D68C:\ud68c×8	-
79	0	1734		U+0028:(×28,U+0029:)×40,U+002C:,×5,U+002D:-×19,U+002F:/×6,U+0030:0×32,U+0031:1×42,U+0032:2×28,U+0033:3×7,U+0034:4×6,U+0035:5×9,U+0036:6×6,U+0037:7×5,U+0038:8×5,U+0039:9×3,U+003A::×6,U+0041:A×3,U+0043:C×13,U+0044:D×2,U+0045:E×5,U+0046:F×1,U+004C:L×1,U+004D:M×10,U+004E:N×1,U+004F:O×4,U+0050:P×3,U+0052:R×22,U+0053:S×2,U+0054:T×4,U+0055:U×4,U+005B:[×4,U+005D:]×4,U+005F:_×1,U+0061:a×87,U+0062:b×8,U+0063:c×28,U+0064:d×30,U+0065:e×101,U+0066:f×18,U+0067:g×19,U+0068:h×15,U+0069:i×87,U+006B:k×4,U+006C:l×37,U+006D:m×40,U+006E:n×117,U+006F:o×109,U+0070:p×18,U+0072:r×49,U+0073:s×59,U+0074:t×109,U+0075:u×15,U+0076:v×7,U+0077:w×4,U+0079:y×5,U+007A:z×1,U+300C:\u300c×13,U+300D:\u300d×15,U+AC00:\uac00×4,U+AC04:\uac04×3,U+AC1C:\uac1c×1,U+AC70:\uac70×1,U+ACA9:\uaca9×1,U+ACB0:\uacb0×7,U+ACBD:\uacbd×1,U+ACC4:\uacc4×2,U+ACE0:\uace0×7,U+ACF5:\uacf5×1,U+ACFC:\uacfc×1,U+AD00:\uad00×12,U+AD6C:\uad6c×3,U+AD6D:\uad6d×5,U+AD8C:\uad8c×7,U+ADF8:\uadf8×1,U+AE30:\uae30×24,U+B0B4:\ub0b4×1,U+B144:\ub144×1,U+B294:\ub294×5,U+B2A5:\ub2a5×1,U+B300:\ub300×10,U+B370:\ub370×1,U+B3D9:\ub3d9×3,U+B418:\ub418×1,U+B4F1:\ub4f1×1,U+B7A8:\ub7a8×1,U+B7FD:\ub7fd×5,U+B808:\ub808×1,U+B825:\ub825×2,U+B85C:\ub85c×4,U+B85D:\ub85d×1,U+B8CC:\ub8cc×1,U+B97C:\ub97c×1,U+B9AC:\ub9ac×4,U+B9BD:\ub9bd×2,U+B9E4:\ub9e4×8,U+BB38:\ubb38×1,U+BC0F:\ubc0f×9,U+BC16:\ubc16×1,U+BC1C:\ubc1c×1,U+BC30:\ubc30×1,U+BC95:\ubc95×1,U+BD80:\ubd80×1,U+BE44:\ube44×1,U+C0AC:\uc0ac×4,U+C0B4:\uc0b4×2,U+C0C1:\uc0c1×1,U+C0DD:\uc0dd×2,U+C11C:\uc11c×5,U+C120:\uc120×1,U+C124:\uc124×4,U+C131:\uc131×3,U+C18C:\uc18c×3,U+C18D:\uc18d×1,U+C218:\uc218×3,U+C2A4:\uc2a4×2,U+C2DC:\uc2dc×4,U+C2DD:\uc2dd×12,U+C2E0:\uc2e0×2,U+C2E4:\uc2e4×1,U+C544:\uc544×2,U+C548:\uc548×10,U+C5C6:\uc5c6×2,U+C5D0:\uc5d0×20,U+C601:\uc601×1,U+C640:\uc640×2,U+C6A9:\uc6a9×1,U+C6B0:\uc6b0×1,U+C6B4:\uc6b4×1,U+C6D0:\uc6d0×4,U+C6D4:\uc6d4×1,U+C704:\uc704×3,U+C720:\uc720×8,U+C73C:\uc73c×1,U+C744:\uc744×1,U+C758:\uc758×25,U+C774:\uc774×13,U+C778:\uc778×3,U+C77C:\uc77c×1,U+C784:\uc784×1,U+C788:\uc788×2,U+C790:\uc790×6,U+C7A5:\uc7a5×12,U+C7AC:\uc7ac×2,U+C801:\uc801×3,U+C804:\uc804×1,U+C808:\uc808×1,U+C815:\uc815×3,U+C81C:\uc81c×1,U+C870:\uc870×1,U+C874:\uc874×3,U+C8FC:\uc8fc×1,U+C900:\uc900×2,U+C99D:\uc99d×7,U+C9C0:\uc9c0×1,U+C9C4:\uc9c4×1,U+C9D1:\uc9d1×2,U+CC28:\ucc28×3,U+CC45:\ucc45×3,U+CD09:\ucd09×1,U+CD5C:\ucd5c×1,U+CD94:\ucd94×1,U+CE58:\uce58×3,U+D0C0:\ud0c0×1,U+D130:\ud130×2,U+D15C:\ud15c×1,U+D1B5:\ud1b5×2,U+D2B8:\ud2b8×1,U+D310:\ud310×1,U+D3C9:\ud3c9×2,U+D3EC:\ud3ec×1,U+D45C:\ud45c×1,U+D504:\ud504×1,U+D55C:\ud55c×17,U+D589:\ud589×4,U+D5C8:\ud5c8×1,U+D611:\ud611×1,U+D615:\ud615×1,U+D654:\ud654×1,U+D65C:\ud65c×1,U+D68C:\ud68c×5,U+D68D:\ud68d×1	-
80	0	0			-
81	0	0			-
82	0	0			-
83	25	0	U+0029:)×1,U+002E:.×2,U+002F:/×3,U+0030:0×1,U+0031:1×1,U+0033:3×1,U+003A::×1,U+0064:d×1,U+0065:e×2,U+0068:h×1,U+006F:o×1,U+0070:p×1,U+0071:q×1,U+0073:s×1,U+0074:t×2,U+0075:u×2,U+0077:w×3		-
84	136	2	U+0028:(×1,U+0029:)×2,U+002E:.×2,U+002F:/×2,U+0031:1×1,U+0033:3×3,U+0043:C×1,U+0045:E×1,U+0046:F×1,U+0052:R×1,U+0055:U×1,U+005F:_×1,U+0061:a×7,U+0063:c×1,U+0064:d×2,U+0065:e×8,U+0066:f×4,U+0067:g×1,U+0068:h×4,U+0069:i×2,U+006C:l×2,U+006D:m×1,U+006E:n×6,U+006F:o×5,U+0070:p×5,U+0072:r×8,U+0074:t×7,U+0075:u×3,U+0078:x×1,U+300D:\u300d×1,U+AC00:\uac00×1,U+ACE0:\uace0×1,U+ACFC:\uacfc×1,U+AD00:\uad00×1,U+AED8:\uaed8×1,U+B144:\ub144×3,U+B294:\ub294×1,U+B2F9:\ub2f9×1,U+B3C4:\ub3c4×1,U+B418:\ub418×2,U+B41C:\ub41c×1,U+B4E0:\ub4e0×1,U+B824:\ub824×1,U+B828:\ub828×1,U+B839:\ub839×1,U+BA70:\uba70×1,U+BAA8:\ubaa8×1,U+BBF8:\ubbf8×3,U+C120:\uc120×1,U+C131:\uc131×4,U+C219:\uc219×1,U+C57C:\uc57c×1,U+C5B4:\uc5b4×1,U+C5F0:\uc5f0×1,U+C640:\uc640×2,U+C704:\uc704×2,U+C740:\uc740×1,U+C758:\uc758×3,U+C774:\uc774×2,U+C775:\uc775×1,U+C790:\uc790×2,U+CD5C:\ucd5c×1,U+D558:\ud558×1,U+D568:\ud568×1,U+D574:\ud574×1,U+D589:\ud589×2	U+0030:0×1,U+0071:q×1	-
85	0	159		U+0028:(×1,U+0029:)×3,U+002E:.×4,U+002F:/×5,U+0031:1×2,U+0033:3×4,U+003A::×1,U+0043:C×1,U+0045:E×1,U+0046:F×1,U+0052:R×1,U+0055:U×1,U+005F:_×1,U+0061:a×7,U+0063:c×1,U+0064:d×3,U+0065:e×10,U+0066:f×4,U+0067:g×1,U+0068:h×5,U+0069:i×2,U+006C:l×2,U+006D:m×1,U+006E:n×6,U+006F:o×6,U+0070:p×6,U+0072:r×8,U+0073:s×1,U+0074:t×9,U+0075:u×5,U+0077:w×3,U+0078:x×1,U+300D:\u300d×1,U+AC00:\uac00×1,U+ACE0:\uace0×1,U+ACFC:\uacfc×1,U+AD00:\uad00×1,U+AED8:\uaed8×1,U+B144:\ub144×3,U+B294:\ub294×1,U+B2F9:\ub2f9×1,U+B3C4:\ub3c4×1,U+B418:\ub418×2,U+B41C:\ub41c×1,U+B4E0:\ub4e0×1,U+B824:\ub824×1,U+B828:\ub828×1,U+B839:\ub839×1,U+BA70:\uba70×1,U+BAA8:\ubaa8×1,U+BBF8:\ubbf8×3,U+C120:\uc120×1,U+C131:\uc131×4,U+C219:\uc219×1,U+C57C:\uc57c×1,U+C5B4:\uc5b4×1,U+C5F0:\uc5f0×1,U+C640:\uc640×2,U+C704:\uc704×2,U+C740:\uc740×1,U+C758:\uc758×3,U+C774:\uc774×2,U+C775:\uc775×1,U+C790:\uc790×2,U+CD5C:\ucd5c×1,U+D558:\ud558×1,U+D568:\ud568×1,U+D574:\ud574×1,U+D589:\ud589×2	-
